okved_provider,okved_consumer,normalized_consumption
17,10.9,0.00021218347142509667
17,10.8,0.0011576411312493123
17,11.0,0.00022253335682296535
17,12,0.0
17,13,0.002884026100436208
17,14,0.002958293857189814
17,15,9.245277204228175e-05
17,16,0.019977884025363064
17,17,0.2152247448017017
58.1,01.1,2.8797513737853935e-07
58.1,01.4,2.8797513737853935e-07
58.1,01.6,0.0
58.1,01.7,0.0
58.1,02,3.352386060778761e-05
58.1,03,0.0
58.1,05,7.939879234436849e-06
58.1,06.10,2.854740796672514e-07
58.1,09.1,4.742838550930022e-06
58.1,07.21,0.0
58.1,07.1,4.406839414771725e-06
58.1,07.2,0.0
58.1,08,0.00038739507002040117
58.1,10.1,0.0
58.1,10.2,0.0
58.1,10.3,0.0
58.1,10.4,0.0
58.1,10.5,0.0
58.1,10.6,0.0
58.1,10.9,0.0
58.1,10.8,1.5995041537123484e-05
58.1,11.0,5.5633339205741336e-05
58.1,12,0.0
58.1,13,0.00010364468798442622
58.1,14,0.0001256791507956457
58.1,15,0.0
58.1,16,0.0004921763141746779
58.1,17,0.016903026316228847
58.1,58.1,0.08538032305433187
18.1,01.1,7.199378434463483e-07
18.1,01.4,7.199378434463483e-07
18.1,01.6,0.0
18.1,01.7,0.0
18.1,02,0.00034920688133112095
18.1,03,0.0
18.1,05,1.0917333947350667e-05
18.1,06.10,5.7094815933450285e-06
18.1,09.1,1.8971354203720088e-06
18.1,07.21,0.0
18.1,07.1,2.2034197073858624e-06
18.1,07.2,0.0
18.1,08,1.131998581228445e-05
18.1,10.1,2.3743832539497867e-06
18.1,10.2,0.0
18.1,10.3,0.0
18.1,10.4,0.0
18.1,10.5,1.9512652003559108e-06
18.1,10.6,1.6820065665536358e-05
18.1,10.9,0.0
18.1,10.8,2.9990702882106533e-06
18.1,11.0,4.636111600478445e-05
18.1,12,0.0
18.1,13,0.0005813115108691732
18.1,14,0.00014501440476420659
18.1,15,0.0004006286788498876
18.1,16,7.190887707097568e-05
18.1,17,0.047521813318729914
18.1,58.1,0.0032187958883994126
18.1,18.1,0.08166209980945179
18.2,01.1,7.199378434463483e-07
18.2,01.4,7.199378434463483e-07
18.2,01.6,0.0
18.2,01.7,0.0
18.2,02,0.00034920688133112095
18.2,03,0.0
18.2,05,1.0917333947350667e-05
18.2,06.10,5.7094815933450285e-06
18.2,09.1,1.8971354203720088e-06
18.2,07.21,0.0
18.2,07.1,2.2034197073858624e-06
18.2,07.2,0.0
18.2,08,1.131998581228445e-05
18.2,10.1,2.3743832539497867e-06
18.2,10.2,0.0
18.2,10.3,0.0
18.2,10.4,0.0
18.2,10.5,1.9512652003559108e-06
18.2,10.6,1.6820065665536358e-05
18.2,10.9,0.0
18.2,10.8,2.9990702882106533e-06
18.2,11.0,4.636111600478445e-05
18.2,12,0.0
18.2,13,0.0005813115108691732
18.2,14,0.00014501440476420659
18.2,15,0.0004006286788498876
18.2,16,7.190887707097568e-05
18.2,17,0.047521813318729914
18.2,58.1,0.0032187958883994126
18.2,18.1,0.08166209980945179
18.2,18.2,0.08166209980945179
19.1,01.1,0.0
19.1,01.4,0.0
19.1,01.6,0.0
19.1,01.7,0.0
19.1,02,0.0
19.1,03,0.0
19.1,05,0.08529613764574646
19.1,06.10,0.0
19.1,09.1,0.0
19.1,07.21,0.0
19.1,07.1,0.0030583465538515774
19.1,07.2,0.0006097417978002392
19.1,08,8.804433409554573e-05
19.1,10.1,0.0
19.1,10.2,0.0
19.1,10.3,0.0
19.1,10.4,0.0
19.1,10.5,0.0
19.1,10.6,0.0
19.1,10.9,0.0
19.1,10.8,0.0
19.1,11.0,0.0
19.1,12,0.0
19.1,13,4.506290781931574e-06
19.1,14,0.0005897252460411068
19.1,15,0.0
19.1,16,9.58785027613009e-06
19.1,17,5.008798789874213e-06
19.1,58.1,0.0
19.1,18.1,0.0
19.1,18.2,0.0
19.1,19.1,0.002898580730649386
19.2,01.1,2.8797513737853935e-07
19.2,01.4,2.8797513737853935e-07
19.2,01.6,0.00033638025594149895
19.2,01.7,0.0
19.2,02,2.7936550506489676e-05
19.2,03,0.0
19.2,05,3.771442636357503e-05
19.2,06.10,0.7515841670365935
19.2,09.1,9.106250017785643e-05
19.2,07.21,0.0
19.2,07.1,0.0
19.2,07.2,0.00038929668628784504
19.2,08,0.0011194208192147957
19.2,10.1,0.0
19.2,10.2,0.0
19.2,10.3,0.0
19.2,10.4,8.779669796618949e-06
19.2,10.5,0.00011317338162064282
19.2,10.6,0.0
19.2,10.9,0.0
19.2,10.8,1.5995041537123484e-05
19.2,11.0,3.708889280382756e-05
19.2,12,0.0
19.2,13,4.9569198601247324e-05
19.2,14,0.010692395444614165
19.2,15,3.0817590680760583e-05
19.2,16,0.00015340560441808143
19.2,17,0.0001318983681333543
19.2,58.1,2.3494860499265785e-05
19.2,18.1,0.0002165320231177461
19.2,18.2,0.0002165320231177461
19.2,19.1,0.00036232259133117325
19.2,19.2,0.2685393859271254
20.1,01.1,3.340511593591056e-05
20.1,01.4,3.340511593591056e-05
20.1,01.6,2.9250457038391212e-05
20.1,01.7,0.0
20.1,02,0.0033859099213865485
20.1,03,8.661383222900698e-06
